Customer_ID,Age,Gender,Region,Product_Category,Purchase_Amount_USD,Purchase_Date,Campaign,Satisfaction_Score,Returns
59,38,Female,Europe,Electronics,114.06,2025-09-19,C,3,0
60,50,Female,Africa,Toys,94.94,2024-12-29,C,2,0
61,45,Male,Americas,Electronics,36.65,2025-04-23,B,3,1
62,56,Male,Americas,Toys,40.16,2025-05-30,A,1,0
63,38,Male,Europe,Home,106.3,2025-03-28,C,4,0
64,35,Male,Americas,Toys,47.1,2025-07-29,A,5,1
65,54,Male,Asia,Electronics,136.77,2025-03-19,A,4,0
66,21,Male,Asia,Clothing,94.11,2025-04-11,B,4,0
67,36,Male,Europe,Electronics,103.38,2025-05-20,C,4,0
68,29,Female,Africa,Home,74.14,2025-09-21,B,2,0
69,58,Male,Americas,Clothing,61.18,2025-08-02,B,5,0
70,46,Female,Europe,Toys,55.88,2025-05-27,C,3,0
71,44,Male,Africa,Toys,93.18,2025-06-22,C,2,1
72,57,Female,Europe,Toys,80.44,2025-05-27,A,2,0
73,31,Female,Asia,Home,74.49,2025-09-04,A,3,0
74,39,Male,Europe,Toys,54.6,2025-05-07,A,3,0
75,65,Male,Americas,Home,85.47,2025-06-01,C,4,0
76,22,Male,Africa,Electronics,13.27,2025-07-16,C,4,0
77,53,Other,Asia,Clothing,74.88,2025-02-20,B,1,0
78,33,Female,Europe,Clothing,87.96,2025-07-18,B,5,0
79,48,Male,Europe,Clothing,86.79,2025-05-21,C,3,0
80,28,Female,Africa,Toys,162.28,2025-02-20,B,5,0
81,44,Male,Europe,Electronics,81.07,2025-10-17,A,1,1
82,22,Female,Asia,Toys,80.7,2025-02-19,C,3,1
83,67,Female,Europe,Clothing,64.93,2025-09-05,A,1,0
84,36,Female,Asia,Home,15.43,2025-05-27,C,3,0
85,24,Male,Americas,Toys,52.72,2025-08-29,C,3,1
86,47,Female,Europe,Home,111.93,2024-12-07,B,2,1
87,31,Female,Americas,Clothing,48.05,2025-06-19,B,4,1
88,62,Male,Americas,Toys,30.78,2025-01-06,C,4,0
89,27,Male,Americas,Toys,5.0,2025-08-16,C,4,1
90,57,Female,Asia,Clothing,45.25,2025-06-21,A,3,0
91,36,Female,Americas,Electronics,74.02,2025-07-03,A,2,0
92,54,Female,Europe,Home,83.61,2025-11-09,A,5,0
93,19,Male,Americas,Electronics,90.72,2025-10-04,B,4,0
94,42,Female,Asia,Clothing,5.0,2025-02-14,A,4,0
95,57,Female,Asia,Clothing,88.17,2025-07-07,B,1,0
96,58,Male,Europe,Clothing,87.16,2025-01-06,C,1,0
97,32,Female,Americas,Electronics,107.36,2025-03-17,B,5,0
98,25,Other,Europe,Clothing,72.2,2025-04-09,C,2,1
99,23,Female,Asia,Home,101.41,2025-04-23,B,3,0
100,44,Female,Africa,Home,54.62,2025-06-22,B,1,0
101,61,Male,Europe,Toys,68.31,2025-08-03,B,1,0
102,22,Male,Americas,Toys,96.27,2025-03-11,A,1,0
103,48,Female,Africa,Clothing,50.17,2025-07-17,B,1,1
104,53,Female,Europe,Electronics,80.35,2025-07-19,B,1,0
105,50,Male,Asia,Clothing,143.26,2024-12-25,B,2,0
106,40,Male,Africa,Electronics,97.85,2025-01-11,B,1,1
107,48,Female,Americas,Electronics,91.7,2025-02-08,B,4,0
108,26,Male,Europe,Electronics,59.82,2025-09-09,C,1,0
109,67,Female,Americas,Clothing,103.97,2025-05-29,A,2,0
110,41,Female,Africa,Home,14.56,2025-11-05,A,1,2
111,48,Female,Asia,Clothing,114.22,2025-05-24,B,5,0
112,26,Female,Asia,Toys,18.29,2025-10-06,B,4,0
113,56,Female,Africa,Clothing,63.67,2025-02-01,C,1,0
114,27,Male,Asia,Home,110.84,2025-01-03,A,2,0
115,64,Female,Asia,Home,64.09,2024-12-22,A,2,0
116,33,Female,Americas,Toys,77.43,2025-07-03,C,4,0
117,22,Male,Europe,Electronics,58.26,2024-12-08,C,2,0
118,67,Female,Europe,Electronics,95.02,2025-01-16,B,3,1
119,32,Female,Africa,Electronics,67.76,2025-08-18,B,2,0
120,66,Female,Asia,Clothing,54.08,2025-04-14,B,4,0
121,49,Female,Europe,Clothing,74.45,2025-07-23,C,2,0
122,39,Female,Africa,Toys,29.26,2025-09-03,C,2,0
123,44,Male,Americas,Electronics,35.11,2025-02-24,C,3,0
124,60,Male,Africa,Home,27.44,2025-11-14,A,1,1
125,21,Male,Americas,Electronics,44.97,2025-02-22,B,4,0
126,63,Female,Americas,Clothing,5.0,2025-05-13,A,1,0
127,47,Female,Americas,Toys,54.25,2025-05-31,A,3,0
128,64,Female,Africa,Toys,36.86,2025-04-05,C,5,0
129,23,Male,Europe,Home,80.2,2025-10-30,A,5,1
130,67,Female,Americas,Clothing,100.64,2025-02-08,A,1,0
131,51,Female,Asia,Home,49.28,2025-03-14,B,4,0
132,18,Other,Americas,Clothing,54.08,2025-04-09,A,5,0
133,22,Female,Europe,Toys,100.75,2025-06-04,C,1,0
134,32,Female,Asia,Home,41.83,2025-10-24,C,3,0
135,43,Female,Africa,Home,85.23,2025-09-15,B,3,0
136,50,Female,Africa,Clothing,53.98,2025-08-06,A,2,0
137,39,Male,Europe,Clothing,102.85,2024-11-30,A,5,0
138,32,Male,Europe,Toys,103.87,2025-10-18,A,2,0
139,66,Female,Asia,Electronics,45.76,2025-07-25,B,4,0
140,24,Female,Africa,Electronics,35.58,2025-06-02,C,5,0
141,20,Female,Asia,Electronics,61.87,2024-12-25,B,2,0
142,36,Female,Asia,Clothing,85.14,2025-11-24,A,3,0
143,29,Female,Europe,Toys,80.05,2025-01-28,C,5,0
144,24,Female,Africa,Toys,58.42,2025-10-04,B,1,0
145,31,Female,Asia,Home,87.08,2025-07-05,C,3,0
146,50,Male,Americas,Home,85.72,2025-04-09,B,2,0
147,23,Female,Americas,Clothing,52.84,2024-12-12,A,2,0
148,39,Male,Asia,Clothing,47.11,2025-02-08,B,1,0
149,66,Female,Americas,Home,53.12,2025-08-11,A,2,0
150,20,Male,Asia,Electronics,59.6,2025-05-24,C,2,0
151,52,Female,Americas,Home,76.57,2025-06-22,C,2,0
152,51,Female,Asia,Clothing,87.18,2024-12-19,C,5,0
153,64,Other,Asia,Home,106.64,2025-06-01,A,4,1
154,31,Female,Asia,Electronics,71.29,2025-08-15,A,5,0
155,34,Male,Americas,Home,96.01,2025-06-06,C,5,0
156,58,Other,Asia,Electronics,58.27,2025-04-06,A,3,0
157,23,Female,Asia,Electronics,46.7,2025-05-26,C,5,0
158,58,Male,Africa,Home,96.61,2025-01-15,C,4,0
159,23,Male,Americas,Electronics,100.28,2025-05-30,C,5,0
160,31,Female,Asia,Toys,82.49,2025-10-06,A,4,0
161,41,Male,Americas,Toys,47.72,2024-12-13,C,2,1
162,46,Male,Africa,Toys,26.89,2025-01-23,A,4,0
163,62,Male,Africa,Clothing,32.85,2025-11-01,B,4,0
164,54,Male,Asia,Electronics,96.36,2025-03-06,A,1,0
165,65,Other,Africa,Toys,45.33,2025-05-03,C,5,0
166,43,Female,Africa,Clothing,101.73,2025-04-23,A,1,0
167,25,Male,Africa,Electronics,33.4,2025-10-28,C,2,1
168,29,Male,Europe,Home,129.03,2025-09-13,C,2,0
169,35,Male,Americas,Home,67.59,2025-04-04,A,3,0
170,62,Male,Europe,Electronics,43.95,2025-08-14,B,1,0
171,68,Male,Asia,Toys,92.1,2025-08-17,C,5,0
172,22,Female,Americas,Home,66.01,2025-04-04,B,3,0
173,63,Female,Europe,Toys,97.26,2025-11-03,B,4,0
174,39,Female,Europe,Home,37.31,2025-03-26,B,2,0
175,35,Male,Americas,Toys,58.77,2025-03-02,B,2,0
176,45,Male,Asia,Toys,127.12,2024-12-08,A,4,0
177,39,Female,Americas,Home,45.56,2024-12-11,B,5,0
178,23,Female,Asia,Home,29.69,2025-11-24,C,4,0
179,51,Female,Europe,Electronics,55.58,2025-03-26,B,4,1
180,32,Male,Africa,Home,53.09,2025-10-17,A,1,0
181,45,Female,Europe,Clothing,19.8,2025-02-18,C,2,1
182,56,Male,Asia,Home,118.9,2025-08-05,B,3,0
183,22,Male,Africa,Toys,49.13,2025-06-24,B,3,0
184,48,Female,Americas,Toys,158.83,2025-07-21,B,2,0
185,37,Female,Europe,Electronics,84.71,2025-08-20,B,5,0
186,64,Male,Americas,Home,67.2,2025-08-07,A,2,0
187,51,Female,Americas,Home,54.35,2025-11-19,C,1,0
188,52,Male,Asia,Toys,76.29,2025-10-24,B,5,0
189,65,Female,Europe,Electronics,44.0,2025-11-09,B,4,0
190,62,Female,Americas,Toys,71.14,2025-03-27,A,5,0
191,35,Female,Africa,Home,99.96,2025-05-04,B,4,0
192,52,Female,Europe,Home,55.99,2025-11-12,A,4,0
193,62,Male,Americas,Toys,77.51,2025-08-21,C,4,0
194,25,Female,Europe,Home,131.43,2025-04-29,A,2,0
195,65,Male,Asia,Clothing,38.48,2024-12-27,B,4,0
196,47,Female,Americas,Toys,60.38,2024-12-14,C,5,0
197,28,Male,Americas,Home,65.5,2024-12-23,C,4,1
198,60,Male,Americas,Electronics,72.67,2025-08-02,A,3,0
199,45,Female,Asia,Toys,112.33,2025-10-24,B,5,1
200,66,Other,Europe,Toys,133.72,2025-04-27,C,1,0
201,65,Female,Africa,Electronics,73.51,2025-07-29,B,4,1
202,68,Female,Africa,Home,115.83,2025-11-29,A,4,0
203,63,Female,Europe,Home,116.86,2025-10-06,A,1,0
204,40,Female,Europe,Electronics,137.7,2025-08-10,C,4,1
205,44,Male,Africa,Electronics,5.0,2025-11-07,A,5,0
206,21,Female,Africa,Home,113.63,2025-01-07,C,1,0
207,65,Female,Africa,Clothing,73.69,2024-12-06,A,5,0
208,29,Female,Africa,Toys,72.95,2025-09-07,A,2,0
209,61,Male,Americas,Clothing,137.99,2025-08-26,A,4,0
210,49,Female,Asia,Clothing,106.06,2025-08-13,C,3,0
211,39,Female,Americas,Clothing,132.84,2025-06-28,B,1,0
212,19,Male,Europe,Clothing,132.9,2024-12-09,B,4,0
213,49,Male,Africa,Clothing,131.07,2024-12-20,C,4,0
214,51,Female,Asia,Toys,82.56,2025-09-29,A,3,0
215,19,Male,Africa,Toys,60.61,2025-08-22,B,5,0
216,28,Female,Africa,Toys,26.59,2025-08-14,A,4,0
217,45,Female,Americas,Toys,50.08,2025-07-13,C,2,0
218,57,Female,Asia,Clothing,83.05,2025-11-05,A,3,1
219,33,Other,Asia,Electronics,43.3,2025-09-26,C,4,0
220,69,Male,Africa,Electronics,13.05,2025-07-29,A,5,0
221,48,Male,Europe,Electronics,24.63,2025-04-09,C,1,0
222,34,Other,Europe,Clothing,50.99,2025-11-13,A,4,1
223,40,Other,Europe,Toys,126.53,2025-10-27,C,1,1
224,27,Female,Europe,Clothing,94.48,2025-11-17,B,3,0
225,40,Male,Europe,Home,86.05,2024-12-12,A,4,0
226,44,Female,Asia,Toys,41.57,2025-06-21,A,2,0
227,53,Other,Asia,Toys,58.93,2025-03-19,A,2,0
228,30,Female,Europe,Toys,166.21,2025-05-02,B,3,0
229,39,Male,Africa,Toys,83.52,2024-12-27,A,3,0
230,53,Female,Africa,Home,42.46,2025-10-10,B,2,0
231,30,Male,Americas,Electronics,136.05,2025-08-23,A,1,0
232,38,Female,Africa,Toys,84.59,2025-06-25,C,5,0
233,19,Male,Asia,Toys,97.37,2025-01-05,B,3,0
234,34,Other,Asia,Clothing,5.0,2024-12-22,A,5,0
235,54,Male,Asia,Home,100.34,2025-06-23,B,2,0
236,57,Female,Africa,Clothing,29.85,2025-11-19,B,2,0
237,58,Male,Europe,Home,50.39,2025-06-25,A,1,0
238,29,Female,Americas,Home,51.09,2024-12-05,B,5,1
239,41,Male,Africa,Toys,59.98,2025-10-26,B,4,0
240,43,Male,Americas,Toys,125.17,2024-12-18,A,4,1
241,23,Female,Africa,Toys,57.86,2025-07-06,A,4,0
242,58,Female,Americas,Electronics,108.26,2025-01-04,A,2,0
243,65,Male,Americas,Clothing,63.02,2025-11-07,A,5,0
244,56,Female,Europe,Electronics,52.86,2025-05-02,B,4,0
245,23,Female,Americas,Electronics,61.14,2025-09-08,A,4,0
246,39,Other,Asia,Toys,67.11,2025-10-12,C,2,0
247,56,Male,Europe,Clothing,68.62,2025-06-09,A,4,1
248,36,Female,Americas,Electronics,92.66,2025-10-17,C,1,0
249,31,Male,Africa,Electronics,50.59,2025-04-22,B,1,0
250,59,Other,Africa,Toys,69.78,2025-02-04,B,5,0
251,41,Male,Americas,Home,59.92,2025-02-09,A,1,1
252,48,Female,Americas,Toys,98.39,2025-05-01,B,1,1
253,41,Female,Europe,Toys,28.78,2025-06-01,A,4,0
254,49,Female,Europe,Toys,208.5,2025-07-11,B,3,0
255,61,Female,Asia,Electronics,5.0,2025-02-19,C,1,0
256,35,Female,Asia,Home,32.48,2025-07-01,A,2,0
257,61,Female,Europe,Electronics,89.15,2025-06-09,B,5,0
258,41,Male,Europe,Home,78.23,2025-11-09,C,3,1
259,62,Female,Europe,Clothing,87.7,2025-10-15,A,1,1
260,69,Other,Europe,Home,47.66,2025-05-01,C,5,0
261,28,Male,Europe,Toys,49.23,2025-10-25,C,5,0
262,43,Male,Asia,Toys,114.17,2025-01-26,C,3,0
263,27,Female,Americas,Electronics,62.82,2025-07-23,B,3,0
264,23,Male,Asia,Toys,43.84,2025-04-22,B,4,0
265,51,Female,Europe,Clothing,111.24,2025-02-26,C,1,0
266,41,Female,Americas,Electronics,94.7,2025-06-08,C,3,1
267,46,Male,Europe,Electronics,62.6,2025-05-21,B,3,0
268,59,Male,Africa,Electronics,172.97,2025-03-18,A,1,1
269,23,Male,Africa,Clothing,5.0,2025-02-05,B,4,0
270,48,Female,Europe,Toys,115.79,2025-11-16,A,2,0
271,67,Male,Americas,Electronics,96.87,2025-08-02,B,2,1
272,54,Male,Africa,Electronics,12.41,2025-08-21,B,3,0
273,58,Female,Asia,Toys,33.35,2025-11-25,C,3,0
274,36,Female,Americas,Electronics,118.99,2025-08-14,B,1,0
275,28,Female,Africa,Electronics,110.86,2025-05-08,C,3,0
276,50,Male,Americas,Home,61.38,2025-02-17,C,2,0
277,34,Female,Africa,Electronics,90.1,2025-05-08,C,2,0
278,30,Female,Americas,Electronics,103.6,2025-01-26,A,4,0
279,57,Male,Americas,Home,79.89,2025-03-11,C,2,0
280,50,Female,Europe,Toys,51.04,2025-07-21,A,5,2
281,31,Female,Asia,Toys,142.65,2025-06-13,A,4,0
282,69,Other,Americas,Home,101.84,2025-04-20,C,5,0
283,46,Female,Europe,Clothing,179.55,2025-09-24,C,3,0
284,48,Female,Africa,Clothing,71.79,2025-07-23,B,4,0
285,67,Male,Europe,Clothing,108.58,2025-02-07,C,4,0
286,25,Female,Europe,Toys,159.24,2025-06-06,B,4,0
287,57,Female,Asia,Electronics,95.13,2025-03-23,A,4,0
288,35,Female,Asia,Electronics,107.75,2025-03-17,C,5,0
289,21,Female,Asia,Electronics,84.93,2024-12-15,B,5,0
290,52,Male,Europe,Electronics,88.2,2025-09-16,C,1,1
291,26,Other,Africa,Clothing,48.37,2025-05-23,C,3,0
292,23,Female,Africa,Clothing,97.95,2024-12-13,B,5,0
293,27,Female,Europe,Toys,85.2,2025-05-16,A,1,0
294,65,Female,Africa,Electronics,52.71,2025-09-21,A,4,0
295,56,Female,Asia,Electronics,139.7,2025-01-09,C,1,0
296,41,Male,Africa,Clothing,60.19,2025-04-28,B,3,1
297,36,Other,Africa,Toys,5.0,2025-11-27,C,1,0
298,59,Male,Africa,Toys,171.45,2025-11-15,B,2,0
299,63,Male,Asia,Home,118.37,2025-06-27,C,3,0
300,52,Female,Africa,Toys,90.66,2025-07-20,A,4,1
301,23,Male,Europe,Toys,112.23,2025-11-19,A,3,0
302,30,Female,Africa,Electronics,71.86,2025-03-18,A,4,0
303,38,Other,Africa,Toys,45.48,2025-10-30,A,1,0
304,28,Male,Europe,Home,123.75,2025-09-15,A,4,0
305,21,Female,Africa,Toys,108.22,2025-07-29,C,1,0
306,48,Other,Asia,Home,107.03,2025-05-09,B,5,0
307,22,Male,Asia,Home,21.29,2025-09-10,A,2,0
308,23,Female,Americas,Toys,5.0,2025-09-05,A,1,1
309,44,Female,Europe,Home,109.07,2025-03-22,B,1,0
310,57,Female,Americas,Electronics,78.91,2025-08-15,B,3,0
311,33,Female,Asia,Toys,25.82,2025-11-28,A,3,1
312,59,Male,Asia,Home,48.26,2024-11-30,A,4,0
313,60,Female,Africa,Clothing,56.93,2025-01-30,A,1,0
314,26,Male,Africa,Electronics,61.34,2025-08-25,C,2,0
315,44,Male,Americas,Toys,75.18,2025-10-09,B,4,0
316,22,Female,Africa,Electronics,95.67,2025-07-13,A,4,0
317,63,Female,Americas,Clothing,136.78,2025-10-03,C,4,0
318,66,Female,Africa,Clothing,58.9,2025-09-13,A,2,0
319,44,Female,Asia,Toys,120.76,2024-12-26,C,1,2
320,30,Female,Americas,Toys,84.44,2025-09-24,C,3,0
321,25,Other,Asia,Electronics,130.69,2025-08-27,B,4,0
322,33,Female,Asia,Home,33.97,2025-01-13,C,5,1
323,66,Other,Africa,Home,121.95,2025-07-02,C,3,1
324,64,Male,Asia,Home,124.85,2025-08-26,A,5,0
325,35,Female,Asia,Toys,88.83,2025-10-01,C,2,0
326,35,Male,Africa,Home,39.69,2025-09-21,B,4,1
327,69,Female,Americas,Clothing,68.7,2024-12-28,C,2,0
328,65,Male,Europe,Electronics,81.06,2025-10-10,C,4,0
329,29,Male,Americas,Clothing,101.49,2025-03-20,C,1,0
330,35,Female,Asia,Clothing,26.48,2025-11-16,A,3,0
331,28,Male,Africa,Home,111.0,2025-11-14,B,3,0
332,27,Female,Asia,Clothing,23.39,2025-07-07,C,4,0
333,69,Female,Asia,Toys,105.16,2024-12-01,B,5,0
334,37,Male,Europe,Clothing,51.73,2025-11-03,C,1,0
335,34,Female,Asia,Home,65.32,2025-06-11,C,3,0
336,29,Female,Americas,Electronics,18.2,2025-09-03,B,1,0
337,65,Male,Europe,Home,91.49,2025-10-14,B,5,0
338,64,Male,Americas,Home,128.8,2025-06-26,B,2,0
339,53,Female,Africa,Electronics,72.77,2025-11-26,C,2,0
340,58,Male,Africa,Home,12.97,2025-02-06,A,5,0
341,19,Female,Asia,Clothing,68.21,2025-10-31,C,4,0
342,22,Male,Europe,Toys,56.18,2025-11-26,C,1,0
343,29,Male,Europe,Toys,84.36,2025-09-26,A,5,1
344,36,Male,Africa,Clothing,123.3,2024-12-10,B,1,0
345,43,Male,Africa,Electronics,5.0,2025-05-10,C,2,0
346,37,Female,Asia,Electronics,128.8,2025-05-23,C,4,0
347,59,Female,Asia,Electronics,76.3,2025-11-20,A,1,0
348,61,Male,Asia,Toys,5.0,2025-06-24,C,5,0
349,32,Other,Americas,Home,144.75,2025-07-01,B,4,0
350,43,Female,Europe,Electronics,61.95,2025-02-17,B,3,0
351,52,Female,Asia,Electronics,92.41,2025-04-20,A,3,0
352,55,Female,Asia,Home,94.14,2025-03-16,B,1,0
353,32,Male,Americas,Home,89.8,2025-02-12,A,2,0
354,31,Female,Asia,Clothing,67.7,2024-12-13,B,4,1
355,23,Female,Africa,Toys,68.7,2025-03-05,A,2,0
356,27,Male,Americas,Toys,5.0,2025-04-02,A,3,1
357,58,Male,Africa,Clothing,30.47,2025-06-16,A,1,1
358,25,Female,Europe,Clothing,27.96,2025-03-16,C,5,1
359,56,Male,Africa,Electronics,82.78,2025-04-19,A,3,0
360,35,Female,Europe,Electronics,74.9,2025-04-15,C,2,0
361,43,Female,Asia,Electronics,43.9,2025-07-20,A,4,0
362,55,Female,Asia,Clothing,87.77,2025-05-18,A,2,0
363,63,Other,Africa,Home,186.96,2025-09-05,C,1,1
364,40,Female,Africa,Home,131.07,2025-05-28,B,5,0
365,20,Other,Asia,Home,91.92,2025-11-08,C,5,0
366,20,Female,Americas,Home,99.93,2024-12-27,A,5,0
367,19,Male,Europe,Clothing,50.66,2025-01-18,A,4,0
368,52,Male,Europe,Toys,84.13,2025-01-21,A,5,0
369,62,Female,Europe,Clothing,75.82,2025-07-07,C,5,0
370,49,Male,Africa,Clothing,34.39,2025-05-19,C,2,0
371,42,Male,Asia,Clothing,47.58,2025-02-23,A,5,0
372,30,Male,Asia,Home,103.63,2024-12-06,A,2,1
373,68,Female,Africa,Home,42.64,2025-11-11,B,5,0
374,37,Male,Americas,Toys,89.88,2025-03-29,B,1,0
375,35,Female,Americas,Toys,28.68,2025-06-05,B,2,0
376,47,Female,Asia,Home,120.68,2025-11-01,C,3,0
377,54,Other,Americas,Home,43.68,2025-02-20,A,3,0
378,35,Male,Africa,Clothing,29.52,2024-12-15,C,2,0
379,23,Male,Americas,Toys,46.23,2025-11-11,B,5,1
380,67,Female,Europe,Toys,40.25,2025-11-06,C,1,0
381,41,Male,Europe,Toys,63.86,2025-03-19,C,3,0
382,43,Female,Americas,Home,5.0,2025-09-01,A,3,0
383,39,Male,Europe,Electronics,55.91,2025-06-15,B,5,0
384,34,Female,Europe,Toys,79.14,2025-04-09,C,4,0
385,40,Female,Americas,Clothing,97.05,2025-08-03,B,4,0
386,37,Male,Europe,Home,159.98,2025-06-24,B,5,0
387,34,Other,Africa,Toys,94.05,2025-09-06,C,2,1
388,18,Female,Americas,Home,16.61,2025-08-01,C,5,0
389,67,Male,Asia,Electronics,168.77,2025-08-23,A,2,0
390,58,Male,Europe,Home,95.25,2025-06-10,B,1,0
391,23,Male,Europe,Electronics,77.02,2025-04-07,B,4,0
392,35,Male,Africa,Toys,53.21,2025-01-25,C,5,0
393,62,Male,Europe,Clothing,56.69,2025-10-15,B,5,0
394,24,Female,Americas,Electronics,32.96,2025-05-06,C,3,0
395,32,Male,Americas,Home,80.84,2025-01-06,A,1,0
396,29,Female,Africa,Electronics,52.35,2025-06-12,B,3,1
397,35,Male,Europe,Electronics,24.05,2025-11-27,A,2,0
398,25,Other,Asia,Toys,92.54,2025-06-05,C,3,0
399,60,Female,Americas,Electronics,90.81,2025-09-28,B,1,2
400,34,Other,Asia,Electronics,66.05,2025-05-08,A,4,0
401,38,Male,Americas,Clothing,46.11,2025-01-30,B,4,0
402,48,Female,Europe,Clothing,89.8,2024-12-30,B,4,0
403,68,Female,Americas,Electronics,43.07,2025-08-12,C,1,0
404,58,Other,Africa,Clothing,91.32,2025-01-31,A,4,0
405,25,Female,Europe,Clothing,55.71,2025-07-09,B,2,0
406,39,Female,Americas,Clothing,61.5,2025-11-13,B,4,0
407,18,Female,Americas,Home,38.93,2025-08-06,C,3,1
408,57,Male,Asia,Toys,53.62,2025-02-08,C,3,1
409,68,Female,Americas,Clothing,59.99,2025-03-13,A,5,0
410,36,Male,Asia,Toys,22.76,2025-01-29,A,2,0
411,51,Female,Africa,Electronics,76.1,2025-02-07,C,1,1
412,39,Male,Europe,Clothing,90.19,2025-07-24,B,5,0
413,67,Male,Asia,Toys,113.68,2025-04-10,C,3,0
414,62,Female,Europe,Clothing,5.0,2025-06-01,A,5,0
415,20,Other,Asia,Home,123.02,2024-12-10,C,5,0
416,28,Female,Asia,Home,35.94,2025-10-22,A,3,0
417,28,Male,Americas,Toys,101.45,2025-03-09,C,4,0
418,20,Male,Europe,Toys,89.99,2025-01-05,B,1,0
419,61,Female,Americas,Electronics,83.44,2025-11-29,C,1,0
420,55,Female,Americas,Home,68.48,2025-01-13,C,5,1
421,26,Other,Africa,Clothing,63.63,2025-03-12,B,2,0
422,30,Male,Africa,Toys,25.51,2024-12-18,C,2,0
423,39,Male,Americas,Home,5.0,2025-10-27,A,1,0
424,42,Female,Americas,Clothing,92.28,2025-11-22,B,1,1
425,39,Female,Asia,Electronics,62.68,2024-12-23,B,4,0
426,27,Female,Africa,Toys,136.8,2025-01-16,C,5,0
427,41,Female,Asia,Home,53.02,2025-04-07,B,4,0
428,55,Male,Americas,Home,55.58,2025-08-17,A,3,0
429,63,Female,Asia,Clothing,102.88,2025-06-18,C,2,0
430,53,Female,Africa,Clothing,98.29,2025-10-03,A,2,0
